# hebcal yomtov cache
# startYear=2026 years=100 israel=on
date,name
2119-05-01,"פסח ז׳"
2119-06-14,"שבועות"
2119-10-05,"ראש השנה 5880"
2119-10-06,"ראש השנה ב׳"
2119-10-14,"יום כיפור"
2119-10-19,"סוכות א׳"
2119-10-26,"שמיני עצרת"
2120-04-13,"פסח א׳"
2120-04-19,"פסח ז׳"
2120-06-02,"שבועות"
2120-09-23,"ראש השנה 5881"
2120-09-24,"ראש השנה ב׳"
2120-10-02,"יום כיפור"
2120-10-07,"סוכות א׳"
2120-10-14,"שמיני עצרת"
2121-04-03,"פסח א׳"
2121-04-09,"פסח ז׳"
2121-05-23,"שבועות"
2121-09-13,"ראש השנה 5882"
2121-09-14,"ראש השנה ב׳"
2121-09-22,"יום כיפור"
2121-09-27,"סוכות א׳"
2121-10-04,"שמיני עצרת"
2122-04-21,"פסח א׳"
2122-04-27,"פסח ז׳"
2122-06-10,"שבועות"
2122-10-01,"ראש השנה 5883"
2122-10-02,"ראש השנה ב׳"
2122-10-10,"יום כיפור"
2122-10-15,"סוכות א׳"
2122-10-22,"שמיני עצרת"
2123-04-11,"פסח א׳"
2123-04-17,"פסח ז׳"
2123-05-31,"שבועות"
2123-09-21,"ראש השנה 5884"
2123-09-22,"ראש השנה ב׳"
2123-09-30,"יום כיפור"
2123-10-05,"סוכות א׳"
2123-10-12,"שמיני עצרת"
2124-03-30,"פסח א׳"
2124-04-05,"פסח ז׳"
2124-05-19,"שבועות"
2124-09-09,"ראש השנה 5885"
2124-09-10,"ראש השנה ב׳"
2124-09-18,"יום כיפור"
2124-09-23,"סוכות א׳"
2124-09-30,"שמיני עצרת"
2125-04-19,"פסח א׳"
2125-04-25,"פסח ז׳"
2125-06-08,"שבועות"
2125-09-29,"ראש השנה 5886"
2125-09-30,"ראש השנה ב׳"
2125-10-08,"יום כיפור"
2125-10-13,"סוכות א׳"
2125-10-20,"שמיני עצרת"
